item,description,is_advanced,dbt_core,sqlmesh,dbt_fusion,is_group_header,group_name
col_group,,,Open-Source,Open-Source,Commercial,,
col_label,,,dbt Core,SQLMesh,dbt Fusion,,
col_logo_url,,,https://avatars.githubusercontent.com/u/53972171?s=64&v=4,https://avatars.githubusercontent.com/u/101943645?s=64&v=4,https://avatars.githubusercontent.com/u/53972171?s=64&v=4,,
col_logo_w,,,40,40,40,,
col_logo_h,,,40,40,40,,
col_label_style,,,,,,,
col_highlight,,,Most popular,Best OSS value,Fastest parsing,,
<div class = 'item-title' id='key-facts'>Key facts</div>,,FALSE,,,,TRUE,key-facts
<b>Homepage</b>,,FALSE,[Homepage >>](https://github.com/dbt-labs/dbt-core),[Homepage >>](https://sqlmesh.com/),[Homepage >>](https://docs.getdbt.com/docs/fusion/about-fusion),FALSE,key-facts
<b>Pricing</b>,,FALSE,Free,Free; Tobiko Cloud optional,Free engine; dbt Cloud from $100/dev/mo,FALSE,key-facts
<b>Release notes</b>,,FALSE,[Release notes](https://github.com/dbt-labs/dbt-core/releases),[Release notes](https://github.com/TobikoData/sqlmesh/releases),[Release notes](https://docs.getdbt.com/docs/dbt-versions/core-upgrade),FALSE,key-facts
<b>Blog</b>,,FALSE,[Blog](https://www.getdbt.com/blog),[Blog](https://tobikodata.com/blog/),[Blog](https://www.getdbt.com/blog),FALSE,key-facts
<b>License</b>,,FALSE,Apache 2.0,Apache 2.0,ELv2 (source-available; not OSI-approved),FALSE,key-facts
<b>Deployment</b>,,FALSE,Self-hosted,Self-hosted / SaaS (Tobiko Cloud optional),Self-hosted / SaaS (dbt Cloud recommended),FALSE,key-facts
<b>Implementation language</b>,,FALSE,Python,Python,Rust (engine) + Python (CLI),FALSE,key-facts
<b>Backing company</b>,,FALSE,dbt Labs,Tobiko Data,dbt Labs,FALSE,key-facts
<b>GitHub stars</b>,,FALSE,~10k,~2k,~1k (separate repo),FALSE,key-facts
<div class = 'item-title' id='core-architecture'>Core architecture</div>,,FALSE,,,,TRUE,core-architecture
<b>Model definition</b>,,FALSE,SQL + Jinja2 templating,SQL (natively parsed) or Python; macro system,SQL + Jinja2 (compiled by Fusion engine),FALSE,core-architecture
<b>Warehouse adapters</b>,,FALSE,[50+ adapters](https://docs.getdbt.com/docs/connect-adapters) (verified; trusted; community),[10+ engines](https://sqlmesh.readthedocs.io/en/stable/integrations/) (Snowflake; BigQuery; Databricks; DuckDB; Spark; Trino),Same as dbt Core adapters (Fusion accelerates execution),FALSE,core-architecture
<b>Universal SQL transpilation</b>,<p><span class='c3'>(write SQL once; auto-transpile to any warehouse dialect)</span></p>,TRUE,:n:,[:y:<br>via SQLGlot](https://github.com/tobymao/sqlglot),:u:<br>Multi-dialect SQL understanding,FALSE,core-architecture
<b>Compile-time SQL validation</b>,<p><span class='c3'>(SQL syntax errors caught before sending to the warehouse)</span></p>,FALSE,:n:<br>Errors caught at runtime,[:y:<br>SQLGlot parses SQL at compile time](https://sqlmesh.readthedocs.io/en/stable/),[:y:<br>SQL validated at compile time](https://docs.getdbt.com/docs/fusion/about-fusion),FALSE,core-architecture
<b>Parse / compile speed</b>,,FALSE,Moderate (Python PartialParser),Fast (SQLGlot),Very fast (~30x vs dbt Core),FALSE,core-architecture
<b>Config format</b>,,FALSE,YAML + SQL (Jinja-templated),SQL model files with inline config + YAML,Same as dbt Core,FALSE,core-architecture
<b>Multi-project support</b>,<p><span class='c3'>(split large codebases across teams or repos with cross-project refs)</span></p>,FALSE,[:y:<br>dbt Mesh (cross-project refs)](https://docs.getdbt.com/best-practices/how-we-mesh/mesh-1-intro),[:y:<br>Native multi-repo support](https://sqlmesh.readthedocs.io/en/latest/guides/multi_repo/),:y:<br>Via dbt Mesh,FALSE,core-architecture
<b>Package management</b>,,FALSE,[:y:<br>packages.yml + dbt Hub](https://hub.getdbt.com/),:u:<br>Limited; can import dbt packages,[:y:<br>Same as dbt Core](https://hub.getdbt.com/),FALSE,core-architecture
<b>dbt project compatibility</b>,<p><span class='c3'>(run existing dbt projects without rewriting)</span></p>,FALSE,N/A,[:y:<br>Native dbt project import](https://sqlmesh.readthedocs.io/en/stable/comparisons/),:y:<br>Full compatibility (same ecosystem),FALSE,core-architecture
<div class = 'item-title' id='incremental-models'>Incremental models</div>,,FALSE,,,,TRUE,incremental-models
<b>Append strategy</b>,,FALSE,:y:,:y:,:y:,FALSE,incremental-models
<b>Merge / upsert strategy</b>,,FALSE,[:y:](https://docs.getdbt.com/docs/build/incremental-models#merge),[:y:](https://sqlmesh.readthedocs.io/en/stable/concepts/models/model_kinds/#incremental_by_unique_key),[:y:](https://docs.getdbt.com/docs/build/incremental-models#merge),FALSE,incremental-models
<b>Insert overwrite (partition-level)</b>,,FALSE,:y:,:y:,:y:,FALSE,incremental-models
<b>Delete + insert strategy</b>,,FALSE,:y:,:y:,:y:,FALSE,incremental-models
<b>[Microbatch](https://docs.getdbt.com/docs/build/incremental-microbatch)</b>,<p><span class='c3'>(process data in sequential time windows to limit compute cost per run)</span></p>,FALSE,[:y:<br>dbt 1.9+](https://docs.getdbt.com/docs/build/incremental-microbatch),[:y:<br>INCREMENTAL_BY_TIME_RANGE](https://sqlmesh.readthedocs.io/en/stable/concepts/models/model_kinds/#incremental_by_time_range),[:y:](https://docs.getdbt.com/docs/build/incremental-microbatch),FALSE,incremental-models
<b>Partition-aware processing</b>,<p><span class='c3'>(engine processes only affected partitions rather than full-table scans)</span></p>,TRUE,:u:<br>Via manual partition filters in SQL,:y:<br>Native partition-level execution,:u:<br>Via manual partition filters in SQL,FALSE,incremental-models
<b>Incremental predicates</b>,<p><span class='c3'>(custom filters to further limit which rows are scanned during incremental runs)</span></p>,TRUE,[:y:](https://docs.getdbt.com/docs/build/incremental-models#about-incremental_predicates),:n:,[:y:](https://docs.getdbt.com/docs/build/incremental-models#about-incremental_predicates),FALSE,incremental-models
<b>Forward-only changes</b>,<p><span class='c3'>(apply changes going forward without rebuilding historical data; critical for petabyte-scale tables)</span></p>,TRUE,:n:,[:y:<br>--forward-only flag or per-model config](https://sqlmesh.readthedocs.io/en/stable/concepts/plans/),:n:,FALSE,incremental-models
<div class = 'item-title' id='testing'>Testing</div>,,FALSE,,,,TRUE,testing
<b>Generic tests (not_null / unique / accepted_values / relationships)</b>,,FALSE,[:y:](https://docs.getdbt.com/docs/build/data-tests#generic-data-tests),[:y:](https://sqlmesh.readthedocs.io/en/stable/concepts/audits/),[:y:](https://docs.getdbt.com/docs/build/data-tests),FALSE,testing
<b>Singular (custom SQL) tests</b>,,FALSE,[:y:](https://docs.getdbt.com/docs/build/data-tests#singular-data-tests),:y:,[:y:](https://docs.getdbt.com/docs/build/data-tests),FALSE,testing
<b>Unit tests</b>,<p><span class='c3'>(mock input data and assert expected output; test logic without hitting the warehouse)</span></p>,FALSE,[:y:<br>dbt 1.8+](https://docs.getdbt.com/docs/build/unit-tests),[:y:](https://sqlmesh.readthedocs.io/en/stable/concepts/tests/),[:y:](https://docs.getdbt.com/docs/build/unit-tests),FALSE,testing
<b>Model-level assertions</b>,<p><span class='c3'>(data quality checks embedded in the model definition; execute automatically after every run)</span></p>,FALSE,:n:,[:y:](https://sqlmesh.readthedocs.io/en/stable/concepts/audits/),:n:,FALSE,testing
<b>Test result persistence</b>,<p><span class='c3'>(test results stored for auditing and historical trend analysis)</span></p>,TRUE,:u:<br>Via dbt Cloud,:n:,:u:<br>Via dbt Cloud,FALSE,testing
<b>Test selection / tag-based filtering</b>,<p><span class='c3'>(run specific tests independently using tags or selectors)</span></p>,FALSE,:y:<br>Via --select and tags,:y:<br>Via sqlmesh audit with selectors,:y:<br>Same as dbt Core,FALSE,testing
<div class = 'item-title' id='governance'>Data contracts and governance</div>,,FALSE,,,,TRUE,governance
<b>Model contracts</b>,<p><span class='c3'>(enforce column names; data types; and constraints before building; prevent schema drift)</span></p>,FALSE,[:y:<br>dbt 1.5+; contract: enforced: true](https://docs.getdbt.com/docs/mesh/govern/model-contracts),[:y:<br>Automatic via sqlmesh plan](https://sqlmesh.readthedocs.io/en/stable/concepts/plans/),[:y:](https://docs.getdbt.com/docs/mesh/govern/model-contracts),FALSE,governance
<b>Model access control (public / protected / private)</b>,<p><span class='c3'>(restrict which models can be referenced by other teams or projects)</span></p>,FALSE,[:y:<br>dbt 1.5+](https://docs.getdbt.com/docs/mesh/govern/model-access),:u:<br>Via schema-level permissions,[:y:](https://docs.getdbt.com/docs/mesh/govern/model-access),FALSE,governance
